"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jun 30 2012","2456108.499988426","362707201","145.34","2.15e-7","2.60e-8","-2.61","-","88.51","1e-8","0","bin48.log"
"Jul 30 2012","2456138.499976852","365299201","69.94","1.32e-7","2.20e-8","-2.61","-","59.35","1e-8","0","bin49.log"
"Aug 29 2012","2456168.499976852","367891201","190.84","2.43e-7","2.50e-8","-2.61","-","30.27","1e-8","0","bin50.log"
"Sep 28 2012","2456198.499976852","370483201","58.46","1.36e-7","2.40e-8","-2.61","-","4.78","1e-8","0","bin51.log"
"Oct 28 2012","2456228.499976852","373075201","111","1.70e-7","2.30e-8","-2.61","-","29.09","1e-8","0","bin52.log"
"Nov 27 2012","2456258.499976852","375667201","139.01","1.65e-7","2.00e-8","-2.61","-","58.41","1e-8","0","bin53.log"
"Dec 27 2012","2456288.499976852","378259201","236.95","2.78e-7","2.70e-8","-2.61","-","88.28","1e-8","0","bin54.log"
"Jan 26 2013","2456318.499976852","380851201","23.41","6.47e-8","1.69e-8","-2.61","-","118.65","1e-8","0","bin55.log"
"Feb 25 2013","2456348.499976852","383443201","74.18","1.50e-7","2.40e-8","-2.61","-","149.03","1e-8","0","bin56.log"
"Mar 27 2013","2456378.499976852","386035201","9.25","4.68e-8","1.83e-8","-2.61","-","178.59","1e-8","0","bin57.log"
"Apr 26 2013","2456408.499976852","388627201","46.38","1.03e-7","1.97e-8","-2.61","-","151.60","1e-8","0","bin58.log"
"May 26 2013","2456438.499976852","391219201","51.31","1.09e-7","2.03e-8","-2.61","-","122.59","1e-8","0","bin59.log"
"Jun 25 2013","2456468.499976852","393811201","88.71","1.26e-7","1.80e-8","-2.61","-","93.59","1e-8","0","bin60.log"
"Jul 25 2013","2456498.499976852","396403201","72.93","1.41e-7","2.30e-8","-2.61","-","64.45","1e-8","0","bin61.log"
"Aug 24 2013","2456528.499976852","398995201","68.31","1.30e-7","2.20e-8","-2.61","-","35.33","1e-8","0","bin62.log"
"Sep 23 2013","2456558.499976852","401587201","93.05","1.70e-7","2.40e-8","-2.61","-","7.44","1e-8","0","bin63.log"
"Oct 23 2013","2456588.499976852","404179201","196.77","2.12e-7","2.20e-8","-2.61","-","24.04","1e-8","0","bin64.log"
"Nov 22 2013","2456618.499976852","406771201","19.8","6.19e-8","1.73e-8","-2.61","-","53.25","1e-8","0","bin65.log"
"Dec 22 2013","2456648.499976852","409363201","34.52","7.63e-8","1.72e-8","-2.61","-","83.02","1e-8","0","bin66.log"
"Jan 21 2014","2456678.499976852","411955201","46.17","1.50e-7","3.00e-8","-2.61","-","113.32","1e-8","0","bin67.log"
"Feb 20 2014","2456708.499976852","414547201","113.33","2.22e-7","3.10e-8","-2.61","-","143.74","1e-8","0","bin68.log"
"Mar 22 2014","2456738.499976852","417139201","245.78","2.37e-7","2.20e-8","-2.61","-","173.73","1e-8","0","bin69.log"
"Apr 21 2014","2456768.499976852","419731201","67.99","1.54e-7","2.50e-8","-2.61","-","156.69","1e-8","0","bin70.log"
"May 21 2014","2456798.499976852","422323201","117.56","1.57e-7","2.10e-8","-2.61","-","127.65","1e-8","0","bin71.log"
"Jun 20 2014","2456828.499976852","424915201","39.29","9.53e-8","1.98e-8","-2.61","-","98.67","1e-8","0","bin72.log"
"Jul 20 2014","2456858.499976852","427507201","46.64","1.17e-7","2.28e-8","-2.61","-","69.55","1e-8","0","bin73.log"
"Aug 19 2014","2456888.499976852","430099201","215.11","2.73e-7","2.80e-8","-2.61","-","40.40","1e-8","0","bin74.log"
"Sep 18 2014","2456918.499976852","432691201","401.87","4.48e-7","3.60e-8","-2.61","-","11.85","1e-8","0","bin75.log"
"Oct 18 2014","2456948.499976852","435283201","177.76","2.26e-7","2.50e-8","-2.61","-","19.04","1e-8","0","bin76.log"
"Nov 17 2014","2456978.499976852","437875201","113.12","1.74e-7","2.40e-8","-2.61","-","48.10","1e-8","0","bin77.log"
"Dec 17 2014","2457008.499976852","440467201","141.31","1.72e-7","2.10e-8","-2.61","-","77.77","1e-8","0","bin78.log"
"Jan 16 2015","2457038.499976852","443059201","39.87","8.59e-8","1.79e-8","-2.61","-","108.00","1e-8","0","bin79.log"
"Feb 15 2015","2457068.499976852","445651201","26.01","6.40e-8","1.68e-8","-2.61","-","138.44","1e-8","0","bin80.log"
"Mar 17 2015","2457098.499976852","448243201","44.75","1.08e-7","2.14e-8","-2.61","-","168.55","1e-8","0","bin81.log"
"Apr 16 2015","2457128.499976852","450835201","8.11","3.64e-8","1.60e-8","-2.61","-","161.80","1e-8","0","bin82.log"
"May 16 2015","2457158.499976852","453427201","15.97","5.31e-8","1.64e-8","-2.61","-","132.71","1e-8","0","bin83.log"
"Jun 15 2015","2457188.499976852","456019201","20.84","4.75e-8","1.35e-8","-2.61","-","103.74","1e-8","0","bin84.log"
"Jul 15 2015","2457218.499965278","458611201","68.39","1.15e-7","1.97e-8","-2.61","-","74.65","1e-8","0","bin85.log"
"Aug 14 2015","2457248.499965278","461203201","178.51","2.29e-7","2.50e-8","-2.61","-","45.49","1e-8","0","bin86.log"
"Sep 13 2015","2457278.499965278","463795201","265.61","2.71e-7","2.50e-8","-2.61","-","16.66","1e-8","0","bin87.log"
"Oct 13 2015","2457308.499965278","466387201","376.28","3.58e-7","2.90e-8","-2.61","-","14.13","1e-8","0","bin88.log"
"Nov 12 2015","2457338.499965278","468979201","544.29","3.98e-7","2.70e-8","-2.61","-","42.97","1e-8","0","bin89.log"
"Dec 12 2015","2457368.499965278","471571201","801.88","4.75e-7","2.70e-8","-2.61","-","72.55","1e-8","0","bin90.log"
"Jan 11 2016","2457398.499965278","474163201","771.51","5.28e-7","3.10e-8","-2.61","-","102.68","1e-8","0","bin91.log"
"Feb 10 2016","2457428.499965278","476755201","276.49","2.45e-7","2.20e-8","-2.61","-","133.13","1e-8","0","bin92.log"
"Mar 11 2016","2457458.499965278","479347201","211.1","2.58e-7","2.70e-8","-2.61","-","163.33","1e-8","0","bin93.log"
"Apr 10 2016","2457488.499965278","481939201","310.09","2.70e-7","2.40e-8","-2.61","-","166.92","1e-8","0","bin94.log"
"May 10 2016","2457518.499965278","484531201","122.47","1.75e-7","2.30e-8","-2.61","-","137.78","1e-8","0","bin95.log"
"Jun 09 2016","2457548.499965278","487123201","106.82","1.73e-7","2.30e-8","-2.61","-","108.81","1e-8","0","bin96.log"
"Jul 09 2016","2457578.499965278","489715201","100.82","1.70e-7","2.50e-8","-2.61","-","79.74","1e-8","0","bin97.log"
"Aug 08 2016","2457608.499965278","492307201","84.92","1.59e-7","2.40e-8","-2.61","-","50.58","1e-8","0","bin98.log"
"Sep 07 2016","2457638.499965278","494899201","53.92","9.22e-8","1.78e-8","-2.61","-","21.61","1e-8","0","bin99.log"
"Oct 07 2016","2457668.499965278","497491201","286.73","3.36e-7","3.10e-8","-2.61","-","9.46","1e-8","0","bin100.log"
"Nov 06 2016","2457698.499965278","500083201","98.13","1.70e-7","2.40e-8","-2.61","-","37.85","1e-8","0","bin101.log"
"Dec 06 2016","2457728.499965278","502675201","237.97","2.51e-7","2.50e-8","-2.61","-","67.33","1e-8","0","bin102.log"
"Jan 05 2017","2457758.4999537035","505267201","387.2","3.61e-7","2.90e-8","-2.61","-","97.38","1e-8","0","bin103.log"
"Feb 04 2017","2457788.4999537035","507859201","258.96","2.59e-7","2.40e-8","-2.61","-","127.81","1e-8","0","bin104.log"
"Mar 06 2017","2457818.4999537035","510451201","204.53","2.31e-7","2.40e-8","-2.61","-","158.09","1e-8","0","bin105.log"
"Apr 05 2017","2457848.4999537035","513043201","489.89","2.81e-7","2.00e-8","-2.61","-","172.04","1e-8","0","bin106.log"
"May 05 2017","2457878.4999537035","515635201","270.49","3.00e-7","2.80e-8","-2.61","-","142.85","1e-8","0","bin107.log"
"Jun 04 2017","2457908.4999537035","518227201","191.04","2.42e-7","2.50e-8","-2.61","-","113.88","1e-8","0","bin108.log"
"Jul 04 2017","2457938.4999537035","520819201","57.62","1.39e-7","2.50e-8","-2.61","-","84.84","1e-8","0","bin109.log"
"Aug 03 2017","2457968.4999537035","523411201","101.1","1.61e-7","2.20e-8","-2.61","-","55.68","1e-8","0","bin110.log"
"Sep 02 2017","2457998.4999537035","526003201","69.92","1.44e-7","2.40e-8","-2.61","-","26.63","1e-8","0","bin111.log"
"Oct 02 2017","2458028.4999537035","528595201","174.66","2.34e-7","2.60e-8","-2.61","-","5.65","1e-8","0","bin112.log"
"Nov 01 2017","2458058.4999537035","531187201","54.52","1.04e-7","1.96e-8","-2.61","-","32.75","1e-8","0","bin113.log"
"Dec 01 2017","2458088.4999537035","533779201","65.9","1.21e-7","2.00e-8","-2.61","-","62.14","1e-8","0","bin114.log"
"Dec 31 2017","2458118.4999537035","536371201","78.09","1.21e-7","1.90e-8","-2.61","-","92.09","1e-8","0","bin115.log"
"Jan 30 2018","2458148.4999537035","538963201","75.08","1.40e-7","2.20e-8","-2.61","-","122.48","1e-8","0","bin116.log"
"Mar 01 2018","2458178.4999537035","541555201","163.58","2.12e-7","2.40e-8","-2.61","-","152.83","1e-8","0","bin117.log"
"Mar 31 2018","2458208.4999537035","544147201","48.13","1.29e-7","2.60e-8","-2.61","-","177.09","1e-8","0","bin118.log"
"Apr 30 2018","2458238.4999537035","546739201","193.82","1.61e-7","1.70e-8","-2.61","-","147.93","1e-8","0","bin119.log"
"May 30 2018","2458268.4999537035","549331201","78.76","1.27e-7","2.00e-8","-2.61","-","118.94","1e-8","0","bin120.log"
"Jun 29 2018","2458298.4999537035","551923201","27.12","8.50e-8","2.08e-8","-2.61","-","89.92","1e-8","0","bin121.log"
"Jul 29 2018","2458328.4999537035","554515201","8.54","3.17e-8","1.35e-8","-2.61","-","60.77","1e-8","0","bin122.log"
"Aug 28 2018","2458358.4999537035","557107201","12.91","8.55e-8","3.20e-8","-2.61","-","31.68","1e-8","0","bin123.log"
